序号,主办单位名称,主办单位性质,网站备案/许可证号,网站名称,网站首页网址,审核时间,是否限制接入,详细信息,网站域名
1,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-1,上海龙讯,www.lxdns.com,2017-12-14,否,详细,"wsngb.com
lxdns.com
lxdns.net"
2,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-10,移动应用加速网,www.maasdk.com,2017-12-14,否,详细,maasdk.com
3,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-11,网宿云存储,www.wcsapi.com,2017-12-14,否,详细,wcsapi.com
4,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-12,网宿云调度平台,www.cdngtm.com,2017-12-14,否,详细,cdngtm.com
5,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-13,智能DNS解析平台,www.idnscloud.com,2017-12-14,否,详细,idnscloud.com
6,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-14,网宿云平台海外入口,www.mwcloudcdn.com,2017-12-14,否,详细,"mwcloudcdn.com
mwcname.com"
7,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-15,网宿DNS云服务,www.wscgdns.com,2017-12-14,否,详细,"wscgdns.com
wscvdns.com
wsclouddns.com"
8,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-16,网宿加速服务平台,www.speedcdns.com,2017-12-14,否,详细,speedcdns.com
9,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-17,网宿加速服务平台,www.cncdomain.com,2017-12-14,否,详细,cncdomain.com
10,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-18,网宿加速服务平台,www.ourglb.com,2017-12-14,否,详细,"ourwebpic.com
ourglb.com"
11,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-19,网宿加速服务平台,www.wsdvs.com,2017-12-14,否,详细,"wsdvs.com
wswebcdn.com
wswebpic.com
wsglb.com
wsngh2.com"
12,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-2,厦门龙讯网站,www.cdn20.com,2017-12-14,否,详细,"wscloudcdn.com
cdn20.net
cdn20.com
cdn178.com
cdn30.com
"
13,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-20,网宿加速服务平台,www.cusdvs.com,2017-12-14,否,详细,cusdvs.com
14,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-21,网宿加速服务平台,www.ourglb0.com,2017-12-14,否,详细,ourglb0.com
15,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-22,网宿加速服务平台,www.uvcdns.com,2017-12-14,否,详细,"lxcdns.com
uvcdns.com"
16,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-23,网宿加速服务平台,www.bjhlgw.com,2017-12-14,否,详细,bjhlgw.com
17,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-24,网宿加速服务平台,www.waycdn.com,2017-12-14,否,详细,waycdn.com
18,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-25,流量经营平台,www.cncflux.com,2017-12-14,否,详细,cncflux.com
19,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-26,fdn流量分发平台,www.wsfdn.com,2017-12-14,否,详细,"wsfdn.com
ourfdn.com"
20,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-27,网宿云网盘,www.mywirebox.com,2017-12-14,否,详细,mywirebox.com
21,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-28,网宿云存储,www.wcsapi.cn,2017-12-14,否,详细,"wcsapi.cn
wcsapi.net"
22,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-29,全速云,www.quansucloud.com,2017-12-14,否,详细,quansucloud.com
23,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-3,网宿科技厦门网站,www.tl88.net,2017-12-14,否,详细,"tl88.net
tl88c.net"
24,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-30,网宿ourcdns加速平台,www.ourcdns.com,2017-12-14,否,详细,ourcdns.com
25,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-31,网宿安全平台,www.wsssec.com,2017-12-14,否,详细,wsssec.com
26,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-32,网宿加速平台,www.ourdvsssvip.com,2017-12-14,否,详细,ourdvsssvip.com
27,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-33,cloudVPN无端化认证登录页面,www.vmylan.com,2017-12-14,否,详细,vmylan.com
28,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-34,网宿混合CDN,www.cdn90.cn,2017-12-14,否,详细,"cdn90.cn
cdn90.com
cdn90.net"
29,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-35,网宿应用安全产品平台,www.appsecurity.top,2017-12-14,否,详细,appsecurity.top
30,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-36,网宿国内加速平台,www.wsdns.top,2017-12-14,否,详细,wsdns.top
31,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-37,网宿国内加速平台,www.ourglb.cn,2017-12-14,否,详细,ourglb.cn
32,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-38,网宿防攻击平台,www.cdn40.com,2017-12-14,否,详细,cdn40.com
33,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-39,网宿国内加速平台,www.ourglb0.cn,2017-12-14,否,详细,ourglb0.cn
34,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-40,网宿加速平台,www.wscdnss.com,2017-12-14,否,详细,wscdnss.com
35,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-5,网宿服务平台网站,www.wscdns.com,2017-12-14,否,详细,"cnccdn.com
wssvs.com
wsoss.com
wscdns.com
xs3cnc.com
wssyun.com
wssvs.net"
36,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-6,快游网,www.94kuai.com,2017-12-14,否,详细,94kuai.com
37,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-8,网宿云计算,www.wscloudsec.com,2017-12-14,否,详细,wscloudsec.com
38,网宿科技股份有限公司北京分公司,企业,京ICP备09037435号-9,服务平台网站,www.ourplat.net,2017-12-14,否,详细,"ourplat.net
haplat.net"
