日期,1xx,2xx,3xx,4xx,5xx,2xx比例,HIT总次数,MISS总次数,请求命中率平均值
2019-03-17,0,927657,16453,4272,3278
2019-03-18,0,927657,16453,4272,3278,97.48,798397,154943,83.75
2019-03-19,0,963409,14545,3994,2620,97.85,856181,130249,86.8
2019-03-20,0,991714,15030,4379,2577,97.83,877505,138491,86.37
2019-03-21,0,989104,35688,5212,3398,95.71,893330,142052,86.28
2019-03-22,0,948707,21804,4650,3036,96.99,841237,139064,85.81
2019-03-23,0,784547,15882,2807,3532,97.25,680369,128290,84.14
2019-03-24,0,798718,13821,2378,3495,97.59,683628,136551,83.35
2019-03-25,0,893895,17436,5143,3777,97.14,784514,137242,85.11
2019-03-26,0,916929,33568,4450,2342,95.78,817295,141547,85.24
2019-03-27,0,1017740,31780,4887,2363,96.31,909678,149165,85.91
2019-03-28,0,933354,59052,3801,2351,93.47,870223,130233,86.98
2019-03-29,0,987261,62843,3751,2739,93.44,926209,132385,87.49
2019-03-30,0,834474,19905,2749,2389,97.09,737620,123864,85.62
2019-03-31,0,829381,13061,2655,2768,97.82,718414,131162,84.56
2019-04-01,0,923680,46189,4427,2790,94.53,851325,127538,86.97
