hxwsj@gmshmas3o> eaw MSC50;
<!collect IOT_subscriber!
<!display MSC's MT MOBILE SUBSCRIBER!
<ioexp;
EXCHANGE IDENTITY DATA

IDENTITY
SHG50CN79B/KD/04/05/75

END


<mgsvp;
MT MOBILE SUBSCRIBER SURVEY

HLRADDR             NSUB       NSUBA      NSUBOCSI
4-8615102121            236        227         10
4-8613524521             38         33          1
4-8615221024           2275       2157        224
4-8613546790007           3          1          0
4-8613564826           3132       2963        413
4-8613621622           2734       2604        393
4-8613564821           3128       2963        381
4-861390561000          187        182        115
4-8613512130           3402       3262        417
4-8615102127           2245       2114        272
4-8613512133           3362       3191        456
4-8615202126           2326       2180        251
4-8615202132           2354       2235        276
4-8615202121           2345       2220        247
4-8615221023           2174       2059        208
4-919820405700           12          8          0
4-8613524527           2741       2595        333
4-861502100000        53695      50907       6900
4-8615000023           2148       2048        244
4-8613879200000         364        354        228
4-8613524522           2696       2564        365
4-8613621631           2679       2538        407
4-861360160000        54944      52287       6994
4-8615221022           2269       2151        229
4-861340130000          468        446        170
4-8615202128           2350       2235        260
4-8613621623           2728       2595        399
4-8613914200000         241        216         75
4-8615000028           2212       2103        237
4-8613621625           2827       2690        391
4-8613512126           3380       3222        448
4-8613512124           3448       3259        457
4-8613621627           2646       2517        416
4-8613621626           2689       2552        366
4-8613564827           3088       2922        371
4-8613524526           2751       2602        332
4-8615000026           2152       2029        244
4-8614765000000      117298      71118         13
4-861471675000          220        192         57
4-861477823000          142        127         72
4-8613621629           2743       2615        396
4-8618860335000         277        269         44
4-861525229000          806        773        591
4-8615202124           2405       2287        264
4-8615102132           2202       2113        248
4-8613524528           2758       2605        332
4-8613564823           3117       2977        339
4-8613564825           3036       2866        381
4-8613524525           2763       2632        331
4-8613621632           2690       2544        373
4-8615102123           2247       2141        260
4-8615221031           2215       2092        232
4-861880576000          475        446        238
4-861390438004           25         25         12
4-8613564831           3080       2941        390
4-8615028470000         392        378         90
4-8615000025           2207       2103        239
4-8618463317474         165        149         56
4-861512944000         1063       1031        238
4-861350131000          459        408         40
4-8613512132           3497       3345        426
4-8615000029           2154       2035        262
4-8613621630           2708       2575        376
4-8615202125           2414       2296        266
4-8615936840000         206        195         49
4-861500230000           95         91         42
4-8618838576000         235        224         35
4-8613564829           3010       2852        376
4-861380534000           45         42         10
4-8615102124           2162       2036        254
4-8615000021            242        235         11
4-8615102122           2231       2129        278
4-85363445021             1          0          1
4-8615000027           2147       2033        254
4-8615000022           2157       2058        265
4-8613512125           3293       3134        445
4-8615221025           2230       2103        250
4-861380560000          622        593        330
4-8613444350439          67         55         46
4-8615102129           2213       2100        246
4-8615000031           2213       2100        261
4-8613606417474         609        587        267
4-8613776580000         438        422        326
4-8613621624           2764       2623        418
4-8615034520002          12         12          7
4-861391299000          128        117         44
4-8615102126           2205       2096        248
4-8613910910000          54         43          2
4-8613564824           3062       2901        368
4-8615731240000         198        189         38
4-8615221026           2288       2171        246
4-8615249657000         121        116          7
4-8613675260000         467        430        365
4-8613907460000          39         39         24
4-8615102128           2174       2075        253
4-8613621633           2789       2628        379
4-8615221032           2313       2197        224
4-8615000024           2108       1984        230
4-8614765120000       68211      33536         13
4-8613444350136          27         23         20
4-8615102131           2198       2079        264
4-861827109000          266        248        102
4-861390565000          513        495        282
4-8613661210002          63         49         10
4-639170000358           32         24         20
4-861837187000          400        381        156
4-861351870000          188        177         27
4-861360669000          248        234        172
4-8613512131           3471       3284        441
4-8613524531           2754       2628        361
4-8613851350000         573        550        470
4-8615102125           2257       2141        230
4-8615202131           2378       2264        243
4-8613512122           3367       3217        431
4-861585599000          421        408        202
4-8615202130           2352       2253        245
4-8615188440000         187        185         28
4-8615221027           2284       2167        236
4-8613444350440          79         65         64
4-861876130000          311        284        226
4-8613524532           2736       2584        311
4-8613879600000         187        177        121
4-8615000032           2243       2138        253
4-861875740000          530        494        262
4-861390568000          198        189        140
4-8613564828           3226       3037        406
4-861390914000           98         95         44
4-8613524530           2716       2572        344
4-8615000030           2183       2060        265
4-861358443000          386        360         93
4-8615202122           2343       2230        253
4-861585595000          377        363        230
4-8613585200000         469        422        168
4-861394710000           95         89         38
4-8615221029           2224       2089        247
4-8613524523           2742       2594        356
4-14054729221             1          1          1
4-8613564832           3088       2931        365
4-861515682000          225        217         98
4-8615202127           2325       2217        260
4-861390562000          180        174        108
4-8615262630000        1191       1115        263
4-861390920000          382        360        217
4-861888300000          127        118         38
4-8613782744000          80         71          8
4-861595780000          268        248        183
4-861500785000           41         32          2
4-8618854257474         176        156         48
4-8617820760000          51         43         43
4-8615221028           2292       2170        265
4-8613524524           2788       2643        370
4-861390621000          521        485        138
4-861840492000          102         97         28
4-861516277000         1390       1300        961
4-8615202123           2248       2162        254
4-8615221021             74         67          0
4-8613813190000         469        450        295
4-8613512123           3378       3238        441
4-861847534000          166        141         57
4-8613512128           3360       3191        451
4-861577112000          299        284        100
4-861847699000          173        159         96
4-861837244000          359        342        152
4-861390555000          219        211        142
4-8618436046000          68         61         10
4-861889983000            9          8          9
4-861889570000          581        563        381
4-861373260000          372        341        109
4-8613512127           3274       3126        407
4-8613621628           2711       2565        381
4-8615221030           2268       2148        245
4-8615202129           2259       2155        219
4-8613937900000         281        269         57
4-861515552000          391        382        207
4-861834542000          325        305         66
4-861391409000          389        359         76
4-8615962800000        1537       1457       1056
4-14054729222             3          0          3
4-8618805337474         254        243         70
4-861370451000          241        232         18
